stars;title;txt
3.0;A Guide to Recognizing Your Saints;Hoe ontsnap je aan een probleemwijk
3.0;Halloween;Een op zichzelf staande, sterke horrorfilm is het niet geworden.
2.0;Death Sentence;Zonde van Kevin Bacons acteertalenten.
1.0;The Heartbreak Kid;Faalt op het belangrijkste punt van een komedie: je laten lachen.
2.0;Evening;Een even pretentieuze als ambitieuze film die ondanks een sterrencast en een mooi verhaal niet uit de verf komt.
2.5;Manufactured Landscapes;Plichtmatige documentaire voegt weinig toe en blijft hangen in mooie, platte plaatjes.
2.5;The Kingdom;Zeer vakkundig gemaakte, intense promotiefilm, dat dan weer wel.
4.0;Control;Debuut van Anton Corbijn straalt klasse uit en heeft een indrukwekkende cast.
4.0;Alles is Liefde;Nederlandse film in hart en nieren, met een goed gevoel voor humor, timing en heerlijke sinterklaasnostalgie.
4.5;Stardust;Een klassiek sprookje maar dan omgedraaid.
2.5;Goud;Tegen alle verwachtingen in een vlakke, langdradige en ronduit oninteressante zit geworden.
2.5;Duska;Het begin is sterk, maar daarna laat Stelling de teugels echter toch nog vieren en wordt de film een in herhaling vallende, zeurderige tragikomedie.
3.5;You Kill Me;Heeft een prettig loom tempo, gevatte dialogen en buitengewoon kostelijke rol voor Ben Kingsley. Toch raakt de rek er wel uit.
2.0;The Brave One;Jodie Foster straft criminelen op bloedige manier af. Betekent haar sekse ook een andere houding tegenover geweld
4.0;Knocked Up;Sterk evenwicht tussen drama en de hoge dosis grappen.
